(2, ('O=C(CO)C(O)OCCOP(=O)(O)O', 'O=CC(O)COP(=O)(O)O'), ('O=C1C(O)OC(COP(=O)(O)O)C(O)C1O',), 209)
(1, ('O=C1C(O)OC(COP(=O)(O)O)C(O)C1O',), ('O=P(O)(O)OCC1OC(O)C(O)C(O)C1O',), 0)

(5, ('CC(=O)C(=O)O',), ('CC(=O)C=O',), 15)
(4, ('CC(=O)C=O',), ('C=C(O)C=O',), 522)
(3, ('C=C(O)C=O',), ('O=CC(O)COP(=O)(O)O',), 963)
(2, ('O=C(CO)C(O)OCCOP(=O)(O)O', 'O=CC(O)COP(=O)(O)O'), ('O=C1C(O)OC(COP(=O)(O)O)C(O)C1O',), 209)
(1, ('O=C1C(O)OC(COP(=O)(O)O)C(O)C1O',), ('O=P(O)(O)OCC1OC(O)C(O)C(O)C1O',), 0)

(5, ('CC(=O)C(=O)O',), ('C=C(O)C(=O)O',), 28)
(4, ('C=C(O)C(=O)O',), ('C=C(O)C=O',), 279)
(3, ('C=C(O)C=O',), ('O=CC(O)COP(=O)(O)O',), 963)
(2, ('O=C(CO)C(O)OCCOP(=O)(O)O', 'O=CC(O)COP(=O)(O)O'), ('O=C1C(O)OC(COP(=O)(O)O)C(O)C1O',), 209)
(1, ('O=C1C(O)OC(COP(=O)(O)O)C(O)C1O',), ('O=P(O)(O)OCC1OC(O)C(O)C(O)C1O',), 0)

(5, ('CC(=O)C(=O)O',), ('NC(CO)C(=O)O',), 27)
(4, ('NC(CO)C(=O)O',), ('C=O', 'NCC(=O)O'), 302)
(3, ('C=O',), ('O=CCO',), 1446)
(3, ('NCC(=O)O',), ('O=CC(=O)O',), 702)
(2, ('O=CCO', 'O=CC(O)C(O)COP(=O)(O)O'), ('O=CC(O)C(O)C(O)C(O)COP(=O)(O)O',), 211)
(2, ('O=CC(O)C(O)C(O)COP(=O)(O)O', 'O=CC(=O)O'), ('O=CC(O)C(O)C(O)C(O)COP(=O)(O)O',), 202)
(1, ('O=CC(O)C(O)C(O)C(O)COP(=O)(O)O',), ('O=P(O)(O)OCC1OC(O)C(O)C(O)C1O',), 3)

