Rule ID,Rule,EC number,Reaction order,Diameter,Score,,,
3.7.1.b.1.r,"([OH:1][C:2]=[O:3].[CH,CH2,CH3:4][CH,CH2:5][N:6])>>([C:2](=[O:3])[*:4][*:5][N:6])",3.7.1.b.1.r,1,1,doubledirection,,,
3.7.1.c.1.f,"([OH2:1].[O:2]=[C:3][C:4]=[C:5][C:6](=[O:7])[C,S,N,P:8])>>([O:2]=[C:3][C:4]=[*:5].[OH:1][C:6](=[O:7])[*:8])",3.7.1.c.1.f,1,1,doubledirection,,,
3.7.1.c.1.r,"([O:2]=[C:3][C:4]=[CH,CH2:5].[OH:1][C:6](=[O:7])[C,S,N,P:8])>>([O:2]=[C:3][C:4]=[C:5][C:6](=[O:7])[*:8])",3.7.1.c.1.r,1,1,doubledirection,,,
3.7.1.c.2.f,([OH2:1].[O:2]=[C:3][C:4]=[C:5][CH:6](=[O:7]))>>([O:2]=[C:3][C:4]=[*:5].[OH:1][CH:6](=[O:7])),3.7.1.c.2.f,1,1,doubledirection,,,
3.7.1.c.2.r,"([O:2]=[C:3][C:4]=[CH,CH2:5].[OH:1][CH:6](=[O:7]))>>([O:2]=[C:3][C:4]=[C:5][CH:6](=[O:7]))",3.7.1.c.2.r,1,1,doubledirection,,,
3.7.1.d.1.f,"([OH2:1].[O:2]=[C:3][C:4]=[C:5][C:6]=[C:9][C:10](=[O:7])[C,S,N,P:8])>>([O:2]=[C:3][C:4]=[C:5][C:6]=[*:9].[OH:1][C:10](=[O:7])[*:8])",3.7.1.d.1.f,1,1,doubledirection,,,
3.7.1.d.1.r,"([O:2]=[C:3][C:4]=[C:5][C:6]=[CH,CH2:9].[OH:1][C:10](=[O:7])[C,S,N,P:8])>>([O:2]=[C:3][C:4]=[C:5][C:6]=[C:9][C:10](=[O:7])[*:8])",3.7.1.d.1.r,1,1,doubledirection,,,
3.7.1.d.2.f,([OH2:1].[O:2]=[C:3][C:4]=[C:5][C:6]=[C:9][CH:10](=[O:7]))>>([O:2]=[C:3][C:4]=[C:5][C:6]=[*:9].[OH:1][CH:10](=[O:7])),3.7.1.d.2.f,1,1,doubledirection,,,
3.7.1.d.2.r,"([O:2]=[C:3][C:4]=[C:5][C:6]=[CH,CH2:9].[OH:1][CH:10](=[O:7]))>>([O:2]=[C:3][C:4]=[C:5][C:6]=[C:9][CH:10](=[O:7]))",3.7.1.d.2.r,1,1,doubledirection,,,
3.13.1.a.1.f,([O:1][S:2](=[O:3])(=[O:4])[C:5].[OH2:6])>>([O:1][S:2](=[O:3])[OH:4].[C:5][OH:6]),3.13.1.a.1.f,1,1,doubledirection,,,
3.13.1.a.1.r,([O:1][S:2](=[O:3])[OH:4].[C:5][OH:6])>>([O:1][S:2](=[O:3])(=[O:4])[C:5]),3.13.1.a.1.r,1,1,doubledirection,,,
4.1.1.a.1.f,"([C,O,S:1][C:2](=[O:3])[C:4](=[O:5])[OH:6])>>([*:1][CH:2]=[O:3].[C:4](=[O:5])=[O:6])",4.1.1.a.1.f,1,1,forward,,,
4.1.1.a.1.r,"([C,O,S:1][CH:2]=[O:3].[C:4](=[O:5])=[O:6])>>([*:1][C:2](=[O:3])[C:4](=[O:5])[OH:6])",4.1.1.a.1.r,1,1,reverse,,,
4.1.1.b.1.f,"([C,O,S:1][C:2](=[O:3])[C:4]([C,O,S:5])([C,O,S:6])[C:7](=[O:8])[OH:9])>>([*:1][C:2](=[O:3])[CH:4]([*:5])[*:6].[C:7](=[O:8])=[O:9])",4.1.1.b.1.f,1,1,forward,,,
4.1.1.b.1.r,"([C,O,S:1][C:2](=[O:3])[CH:4]([C,O,S:5])[C,O,S:6].[C:7](=[O:8])=[O:9])>>([*:1][C:2](=[O:3])[C:4]([*:5])([*:6])[C:7](=[O:8])[OH:9])",4.1.1.b.1.r,1,1,reverse,,,
4.1.1.b.2.f,"([C,O,S:1][C:2](=[O:3])[CH:4]([C,O,S:6])[C:7](=[O:8])[OH:9])>>([*:1][C:2](=[O:3])[CH2:4][*:6].[C:7](=[O:8])=[O:9])",4.1.1.b.2.f,1,1,forward,,,
4.1.1.b.2.r,"([C,O,S:1][C:2](=[O:3])[CH2:4][C,O,S:6].[C:7](=[O:8])=[O:9])>>([*:1][C:2](=[O:3])[CH:4]([*:6])[C:7](=[O:8])[OH:9])",4.1.1.b.2.r,1,1,reverse,,,
4.1.1.b.3.f,"([C,O,S:1][C:2](=[O:3])[CH2:4][C:7](=[O:8])[OH:9])>>([*:1][C:2](=[O:3])[CH3:4].[C:7](=[O:8])=[O:9])",4.1.1.b.3.f,1,1,forward,,,
4.1.1.b.3.r,"([C,O,S:1][C:2](=[O:3])[CH3:4].[C:7](=[O:8])=[O:9])>>([*:1][C:2](=[O:3])[CH2:4][C:7](=[O:8])[OH:9])",4.1.1.b.3.r,1,1,reverse,,,
4.1.1.b.4.f,"([CH:2](=[O:3])[C:4]([C,O,S:5])([C,O,S:6])[C:7](=[O:8])[OH:9])>>([CH:2](=[O:3])[CH:4]([*:5])[*:6].[C:7](=[O:8])=[O:9])",4.1.1.b.4.f,1,1,forward,,,
4.1.1.b.4.r,"([CH:2](=[O:3])[CH:4]([C,O,S:5])[C,O,S:6].[C:7](=[O:8])=[O:9])>>([CH:2](=[O:3])[C:4]([*:5])([*:6])[C:7](=[O:8])[OH:9])",4.1.1.b.4.r,1,1,reverse,,,
4.1.1.b.5.f,"([CH:2](=[O:3])[CH:4]([C,O,S:6])[C:7](=[O:8])[OH:9])>>([CH:2](=[O:3])[CH2:4][*:6].[C:7](=[O:8])=[O:9])",4.1.1.b.5.f,1,1,forward,,,
4.1.1.b.5.r,"([CH:2](=[O:3])[CH2:4][C,O,S:6].[C:7](=[O:8])=[O:9])>>([CH:2](=[O:3])[CH:4]([*:6])[C:7](=[O:8])[OH:9])",4.1.1.b.5.r,1,1,reverse,,,
4.1.1.b.6.f,([CH:2](=[O:3])[CH2:4][C:7](=[O:8])[OH:9])>>([CH:2](=[O:3])[CH3:4].[C:7](=[O:8])=[O:9]),4.1.1.b.6.f,1,1,forward,,,
4.1.1.b.6.r,([CH:2](=[O:3])[CH3:4].[C:7](=[O:8])=[O:9])>>([CH:2](=[O:3])[CH2:4][C:7](=[O:8])[OH:9]),4.1.1.b.6.r,1,1,reverse,,,
4.1.1.c.1.f,"([C:1]([C,N:2])([C,N:3])([NH2:4])[C:5](=[O:6])[OH:7])>>([CH:1]([*:2])([*:3])[NH2:4].[C:5](=[O:6])=[O:7])",4.1.1.c.1.f,1,1,forward,,,
4.1.1.c.1.r,"([CH:1]([C,N:2])([C,N:3])[NH2:4].[C:5](=[O:6])=[O:7])>>([C:1]([*:2])([*:3])([NH2:4])[C:5](=[O:6])[OH:7])",4.1.1.c.1.r,1,1,reverse,,,
4.1.1.c.2.f,"([CH:1]([C,N:3])([NH2:4])[C:5](=[O:6])[OH:7])>>([CH2:1]([*:3])[NH2:4].[C:5](=[O:6])=[O:7])",4.1.1.c.2.f,1,1,forward,,,
4.1.1.c.2.r,"([CH2:1]([C,N:3])[NH2:4].[C:5](=[O:6])=[O:7])>>([CH:1]([*:3])([NH2:4])[C:5](=[O:6])[OH:7])",4.1.1.c.2.r,1,1,reverse,,,
